Section,Phase / Week,Duration,Item Type,Item,Details / Mental Model,Resources,Status
12-Week Plan,Week 1,1 week,Week,Internet HTTP HTTPS DNS TCP/IP REST Cookies JWT,Phase 0,CodeKarle + ByteByteGo,
12-Week Plan,Week 2,1 week,Week,Computer Networking WebSockets CORS,Phase 1,CodeKarle + ByteByteGo,
12-Week Plan,Weeks 3–4,2 weeks,Week,SQL NoSQL Indexing Transactions ACID Replication,Phase 2,ByteByteGo + Hussein Nasser,
12-Week Plan,Weeks 5–6,2 weeks,Week,Monolith vs Microservices Nginx API Gateway,Phase 3,CodeKarle + ByteByteGo,
12-Week Plan,Week 7,1 week,Week,Redis and Caching,Phase 4,Hussein Nasser Redis,
12-Week Plan,Week 8,1 week,Week,Load Balancers Horizontal vs Vertical Scaling,Phases 5 + 8 start,ByteByteGo + CodeKarle,
12-Week Plan,Week 9,1 week,Week,Kafka / RabbitMQ Background Jobs,Phase 6,CodeKarle Kafka + ByteByteGo,
12-Week Plan,Week 10,1 week,Week,CDN File Storage S3,Phase 7,ByteByteGo CDN,
12-Week Plan,Week 11,1 week,Week,Scalability Sharding Partitioning Replication,Phase 8,ByteByteGo + CodeKarle,
12-Week Plan,Week 12,1 week,Week,Design Instagram WhatsApp YouTube,Phase 9,CodeKarle + ByteByteGo + Gaurav Sen,
Weekly Rhythm,Monday–Friday,1.5–2 hrs/day,Routine,Watch videos,45–60 min,—,
Weekly Rhythm,Monday–Friday,1.5–2 hrs/day,Routine,Take notes,30–45 min handwritten or digital,—,
Weekly Rhythm,Monday–Friday,1.5–2 hrs/day,Routine,Draw architecture diagrams,30 min redraw yourself,—,
Weekly Rhythm,Saturday,Build day,Routine,Build a small project,Redis cache / S3 upload / WebSockets / rate limiter / URL shortener,—,
Weekly Rhythm,Sunday,Revise day,Routine,Teach aloud,Explain the week's topics as if teaching someone,—,
Projects,URL Shortener,—,Project,Build it,Hashing database design,After Phase 2,
Projects,Chat App,—,Project,Build it,WebSockets,After Phase 1,
Projects,Rate Limiter,—,Project,Build it,Redis,After Phase 4,
Projects,Notification Service,—,Project,Build it,RabbitMQ / Kafka,After Phase 6,
Projects,Image Upload Service,—,Project,Build it,S3 + CDN,After Phase 7,
Projects,Authentication Service,—,Project,Build it,JWT + Refresh Tokens,After Phase 0,
Projects,Tiny Load Balancer,—,Project,Build it,Request distribution,After Phase 5,
Projects,Tiny API Gateway,—,Project,Build it,Routing auth at edge,After Phase 3,
Projects,Mini Uber Backend,—,Project,Build it,Matching location queues,Phase 9,
Projects,Mini Instagram Backend,—,Project,Build it,Feed media caching,Phase 9,
Resources,CodeKarle,—,Resource,Best first resource,Slow clear beginner explanations,Start here,
Resources,ByteByteGo,—,Resource,Animations and intuition,Watch after CodeKarle,After CodeKarle,
Resources,Hussein Nasser,—,Resource,Why backends work this way,Browser HTTP TCP Redis databases,Throughout,
Resources,Gaurav Sen,—,Resource,Interview-focused system design,Watch after basics,After Phases 0–8,
Resources,System Design Primer (GitHub),—,Resource,Free deep reference,Not beginner-friendly,After basics,
Resources,GeeksforGeeks System Design,—,Resource,Quick revision,Good before interviews,Revision,
Resources,High Scalability,—,Resource,Real company engineering stories,Read after 2+ months,Advanced,
Books,Designing Data-Intensive Applications — Martin Kleppmann,—,Book,Advanced,Buy after 2–3 months of study,Optional later,
Books,System Design Interview — Alex Xu,—,Book,Interview prep,Excellent for interviews,Optional later,
